Season,Team,Att,G,W,L,T,W-L%,Pts,PtsO,PtDif,Att.1,Yds,Y/A,TD
2000,Auburn,462.0,12.0,9.0,4.0,0.0,0.692,288.0,235.0,53.0,462.0,1960.0,4.2,19.0
2000,Mississippi State,462.0,11.0,8.0,4.0,0.0,0.667,347.0,265.0,82.0,462.0,2123.0,4.6,27.0
2000,Tennessee,439.0,11.0,8.0,4.0,0.0,0.667,359.0,212.0,147.0,439.0,1790.0,4.1,20.0
2000,Arkansas,425.0,11.0,6.0,6.0,0.0,0.5,264.0,258.0,6.0,425.0,1653.0,3.9,18.0
2000,Ole Miss,408.0,11.0,7.0,5.0,0.0,0.583,314.0,280.0,34.0,408.0,1615.0,4.0,18.0
2000,South Carolina,406.0,11.0,8.0,4.0,0.0,0.667,259.0,174.0,85.0,406.0,1727.0,4.3,21.0
2000,Georgia,394.0,11.0,8.0,4.0,0.0,0.667,294.0,198.0,96.0,394.0,1451.0,3.7,18.0
2000,LSU,393.0,11.0,8.0,4.0,0.0,0.667,292.0,221.0,71.0,393.0,1442.0,3.7,13.0
2000,Alabama,384.0,11.0,3.0,8.0,0.0,0.273,228.0,246.0,-18.0,384.0,1514.0,3.9,17.0
2000,Florida,361.0,12.0,10.0,3.0,0.0,0.769,448.0,236.0,212.0,361.0,1326.0,3.7,20.0
2000,Vanderbilt,338.0,11.0,3.0,8.0,0.0,0.273,193.0,273.0,-80.0,338.0,1062.0,3.1,8.0
2000,Kentucky,305.0,11.0,2.0,9.0,0.0,0.182,254.0,383.0,-129.0,305.0,1211.0,4.0,9.0
2000,Wisconsin,573.0,12.0,9.0,4.0,0.0,0.692,307.0,245.0,62.0,573.0,2381.0,4.2,20.0
2000,Northwestern,565.0,11.0,8.0,4.0,0.0,0.667,424.0,334.0,90.0,565.0,2830.0,5.0,36.0
2000,Indiana,503.0,11.0,3.0,8.0,0.0,0.273,337.0,427.0,-90.0,503.0,2934.0,5.8,34.0
2000,Michigan,500.0,11.0,9.0,3.0,0.0,0.75,373.0,201.0,172.0,500.0,2422.0,4.8,23.0
2000,Minnesota,483.0,11.0,6.0,6.0,0.0,0.5,345.0,280.0,65.0,483.0,2063.0,4.3,17.0
2000,Michigan State,478.0,11.0,5.0,6.0,0.0,0.455,197.0,233.0,-36.0,478.0,1874.0,3.9,14.0
2000,Ohio State,477.0,11.0,8.0,4.0,0.0,0.667,324.0,198.0,126.0,477.0,1781.0,3.7,18.0
2000,Penn State,450.0,12.0,5.0,7.0,0.0,0.417,264.0,293.0,-29.0,450.0,1707.0,3.8,15.0
2000,Illinois,435.0,11.0,5.0,6.0,0.0,0.455,294.0,286.0,8.0,435.0,1790.0,4.1,14.0
2000,Purdue,415.0,11.0,8.0,4.0,0.0,0.667,357.0,232.0,125.0,415.0,1745.0,4.2,20.0
2000,Iowa,404.0,12.0,3.0,9.0,0.0,0.25,203.0,330.0,-127.0,404.0,1090.0,2.7,6.0
2000,Nebraska,636.0,11.0,10.0,2.0,0.0,0.833,456.0,213.0,243.0,636.0,3842.0,6.0,45.0
2000,Kansas State,595.0,13.0,11.0,3.0,0.0,0.786,514.0,240.0,274.0,595.0,2575.0,4.3,42.0
2000,Kansas,471.0,11.0,4.0,7.0,0.0,0.364,261.0,359.0,-98.0,471.0,1732.0,3.7,20.0
2000,Missouri,451.0,11.0,3.0,8.0,0.0,0.273,255.0,348.0,-93.0,451.0,1696.0,3.8,19.0
2000,Iowa State,446.0,11.0,9.0,3.0,0.0,0.75,306.0,293.0,13.0,446.0,2299.0,5.2,27.0
2000,Oklahoma State,430.0,11.0,3.0,8.0,0.0,0.273,202.0,303.0,-101.0,430.0,1775.0,4.1,13.0
2000,Texas A&M,421.0,11.0,7.0,5.0,0.0,0.583,307.0,196.0,111.0,421.0,1610.0,3.8,28.0
2000,Oklahoma,410.0,12.0,13.0,0.0,0.0,1.0,468.0,192.0,276.0,410.0,1615.0,3.9,32.0
2000,Colorado,407.0,11.0,3.0,8.0,0.0,0.273,252.0,284.0,-32.0,407.0,1342.0,3.3,15.0
2000,Texas,406.0,11.0,9.0,3.0,0.0,0.75,425.0,197.0,228.0,406.0,1600.0,3.9,19.0
