Season,Team,Att,G,W,L,T,W-L%,Pts,PtsO,PtDif,Att.1,Yds,Y/A,TD
2011,LSU,591.0,14.0,13.0,1.0,0.0,0.929,500.0,158.0,342.0,591.0,2836.0,4.8,35.0
2011,Georgia,582.0,14.0,10.0,4.0,0.0,0.714,448.0,288.0,160.0,582.0,2296.0,3.9,15.0
2011,South Carolina,553.0,13.0,11.0,2.0,0.0,0.846,391.0,239.0,152.0,553.0,2497.0,4.5,28.0
2011,Auburn,536.0,13.0,8.0,5.0,0.0,0.615,334.0,376.0,-42.0,536.0,2370.0,4.4,20.0
2011,Mississippi State,513.0,13.0,7.0,6.0,0.0,0.538,329.0,256.0,73.0,513.0,2279.0,4.4,19.0
2011,Alabama,508.0,13.0,12.0,1.0,0.0,0.923,453.0,106.0,347.0,508.0,2788.0,5.5,34.0
2011,Vanderbilt,497.0,13.0,6.0,7.0,0.0,0.462,347.0,281.0,66.0,497.0,2138.0,4.3,26.0
2011,Florida,469.0,13.0,7.0,6.0,0.0,0.538,331.0,264.0,67.0,469.0,1859.0,4.0,17.0
2011,Ole Miss,460.0,12.0,2.0,10.0,0.0,0.167,193.0,385.0,-192.0,460.0,1555.0,3.4,12.0
2011,Kentucky,428.0,12.0,5.0,7.0,0.0,0.417,190.0,296.0,-106.0,428.0,1490.0,3.5,9.0
2011,Arkansas,412.0,13.0,11.0,2.0,0.0,0.846,478.0,289.0,189.0,412.0,1786.0,4.3,25.0
2011,Tennessee,392.0,12.0,5.0,7.0,0.0,0.417,244.0,271.0,-27.0,392.0,1081.0,2.8,11.0
2011,Nebraska,611.0,13.0,9.0,4.0,0.0,0.692,379.0,304.0,75.0,611.0,2824.0,4.6,31.0
2011,Wisconsin,609.0,14.0,11.0,3.0,0.0,0.786,618.0,266.0,352.0,609.0,3298.0,5.4,48.0
2011,Northwestern,577.0,13.0,6.0,7.0,0.0,0.462,376.0,360.0,16.0,577.0,2166.0,3.8,25.0
2011,Ohio State,563.0,13.0,6.0,7.0,0.0,0.462,318.0,273.0,45.0,563.0,2485.0,4.4,20.0
2011,Michigan,560.0,13.0,11.0,2.0,0.0,0.846,433.0,226.0,207.0,560.0,2884.0,5.2,31.0
