Rank,Player Name,RB Grade,School,Conf Rk,DOB,Age,Year,Draft Age,Height,Weight,40 Time,Draft Cap,DOM1,DOM2,DOM3,DOM4,DOM5,TDOM,DOM+,RDOM1,RDOM2,ADOM,RDOM+,BOUT,Speed,BMI,MTF/A,YPC,ELU,YCO/A,Break %,DOM++,RDOM+,BOUT+,Speed+,MTF/A,YPC+,ELU+,YCO/A+,DC+,BAMA,Rush Yds,Team Yds,Rush TDs,Team TD,Att,MTF,YPC,ELU,YCO/A,Break %,Rec Yds,Team Yds,Recs,Rec TDs,Team TDs,Rush Yds,Team Yds,Rush TDs,Team TD,Att,MTF,YPC,ELU,YCO/A,Break %,Rec Yds,Team Yds,Recs,Rec TDs,Team TDs,Rush Yds,Team Yds,Rush TDs,Team TD,Att,MTF,YPC,ELU,YCO/A,Break %,Rec Yds,Team Yds,Recs,Rec TDs,Team TDs,Rush Yds,Team Yds,Rush TDs,Team TD,Att,MTF,YPC,ELU,YCO/A,Break %,Rec Yds,Team Yds,Recs,Rec TDs,Team TDs,Rush Yds,Team Yds,Rush TDs,Team TD,Att,MTF,YPC,ELU,YCO/A,Break %,Rec Yds,Team Yds,Recs,Rec TDs,Team TDs,,,Conferences,multiplier,Season Starts,Draft
1,Saquon Barkley,13.43,Penn State,2,2/9/97,28.23,JR,21.22,72,233,4.41,1,0.00%,0.00%,27.45%,37.44%,31.70%,34.57%,34.57%,15.17%,16.57%,16.57%,16.57%,18.57,123.21,31.60,0.26,5.80,87.50,3.54,56.60,9.0,10.0,9.0,10.0,7.0,2.0,3.0,2.0,10.0,1.0,0,2088,,,,,,,,,0,3110,,,,0,1325,0,,0,0,0.0,0.0,0.0,0.0,0,3034,0,,,1082,1744,7,,182,60,5.9,126.7,3.82,53.20,162,2788,20,,,1491,2406,18,,272,72,5.50,87.50,3.28,54.50,402,2650,28,,,1272,2212,18,,218,39,5.80,69.00,3.54,56.60,625,3772,54,,,,1,SEC,1,8/31/13,4/26/18
2,Rashaad Penny,10.77,San Diego State,7,2/2/96,29.25,SR,22.24,70,224,4.46,1,0.00%,0.43%,9.08%,21.32%,45.81%,45.81%,29.78%,11.07%,6.72%,8.90%,5.78%,20.59,113.22,32.14,0.30,7.80,129.70,4.78,62.60,8.0,6.0,3.0,9.0,8.0,8.0,6.0,8.0,10.0,0.0,0,2166,,,,,,,,,0,3358,,,,22,2809,0,,2,0,11.0,0.0,6.0,95.5,0,2319,0,,,357,3266,4,,60,11,6.0,41.0,2.53,33.30,120,1988,8,,,992,3680,11,,134,31,7.40,109.00,4.78,62.60,224,2023,15,,,2254,3282,23,,289,86,7.80,129.70,4.47,56.60,129,1920,19,,,,2,Big 10,1,8/31/14,
3,Derrius Guice,10.11,LSU,1,6/21/97,27.87,JR,20.86,70,224,4.49,2,0.00%,0.00%,8.82%,29.41%,25.80%,27.61%,27.61%,4.65%,4.69%,4.69%,4.69%,19.21,110.23,32.14,0.19,7.60,111.70,4.13,59.90,7.0,5.0,7.0,9.0,2.0,8.0,5.0,5.0,7.0,0.0,0,2630,,,,,,,,,0,3263,,,,0,2919,0,0,0,0,0.0,0.0,0.0,0.0,0,2118,0,,,439,3082,3,,50,15,8.8,138.0,4.14,67.70,24,2165,4,,,1387,2796,15,,183,48,7.60,111.70,4.13,59.90,106,2281,9,,,1255,2699,11,,237,44,5.30,60.20,3.20,29.60,124,2645,18,,,,3,Big 12,0.9,8/31/15,
4,Sony Michel,10.04,Georgia,1,2/17/95,30.21,SR,23.20,71,214,4.54,1,0.00%,8.65%,28.94%,19.78%,20.26%,24.60%,24.60%,5.92%,2.41%,4.17%,4.17%,20.55,100.74,29.84,0.23,8.00,95.10,4.03,56.20,6.0,4.0,3.0,6.0,5.0,8.0,3.0,5.0,10.0,0.5,0,2209,,,,,,,,,0,4085,,,,409,3352,5,,64,17,6.4,66.5,2.3,32.5,106,2599,7,,,1160,2498,8,,219,48,5.3,85.1,3.31,46.20,259,2406,26,,,840,2486,4,,152,26,5.50,63.10,3.14,26.80,149,2515,22,,,1259,3876,16,,157,36,8.00,95.10,4.03,56.20,64,2653,8,,,,4,ACC,0.9,8/31/16,
5,Nick Chubb,9.89,Georgia,1,12/27/95,29.35,SR*,22.35,70,220,4.52,2,0.00%,29.61%,15.82%,24.32%,21.04%,25.33%,25.33%,3.42%,1.13%,2.28%,2.28%,18.69,105.41,31.56,0.24,6.00,91.20,3.76,45.80,6.0,2.0,9.0,8.0,5.0,3.0,3.0,3.0,7.0,1.0,0,2209,,,,,,,,,0,4085,,,,1549,3352,14,,219,63,7.1,108.5,3.7,52.1,213,2599,18,,,744,2498,7,,92,23,8.1,88.5,3.70,57.50,32,2406,4,,,1130,2486,8,,224,39,5.00,63.70,3.65,36.50,86,2515,5,,,1344,3876,15,,223,53,6.00,91.20,3.76,45.80,30,2653,4,,,,5,Pac 12,0.85,9/5/17,
6,Royce Freeman,8.99,Oregon,5,2/4/96,29.24,SR,22.24,71,229,4.54,3,0.00%,18.65%,31.21%,18.51%,28.56%,29.89%,25.40%,4.52%,6.68%,6.68%,5.68%,18.58,107.81,31.94,0.22,6.10,111.60,4.08,50.70,6.0,6.0,9.0,8.0,4.0,3.0,5.0,5.0,6.0,0.0,0,3556,,,,,,,,,0,3789,,,,1372,3518,18,,253,44,5.4,42.6,2.5,30.0,158,4687,16,,,1844,3639,17,,283,80,6.5,108.6,3.77,46.60,340,3358,26,,,948,2717,9,,167,47,5.70,111.60,4.08,50.70,144,3183,23,,,1472,3263,16,,243,53,6.10,78.80,3.39,37.20,165,2469,15,,,,6,AAC,0.7,,
7,Ronald Jones,7.97,USC,5,8/3/97,27.75,JR,20.74,72,200,4.65,2,0.00%,1.46%,16.67%,18.66%,25.68%,25.68%,21.83%,2.12%,4.46%,4.46%,3.79%,18.09,85.56,27.12,0.22,6.10,75.10,3.90,46.40,4.0,4.0,10.0,1.0,5.0,3.0,2.0,4.0,7.0,0.0,0,2419,,,,,,,,,0,3180,,,,14,2092,0,,2,0,7.0,0.0,0.0,0.0,73,3856,9,,,983,2355,8,,153,34,6.4,84.3,3.75,48.20,39,3776,7,,,1081,2609,12,,177,33,6.10,68.40,3.90,45.90,76,3593,11,,,1550,2591,19,,261,58,5.90,75.10,3.50,46.40,186,4168,14,,,,7,Mountain West,0.65,,
8,John Kelly,7.64,Tennessee,1,10/4/96,28.58,JR,21.57,70,216,4.64,6,0.00%,0.00%,3.01%,11.44%,30.83%,30.83%,30.83%,1.65%,14.35%,14.35%,14.35%,20.93,93.20,30.99,0.20,6.20,131.60,4.28,39.40,8.0,10.0,3.0,2.0,4.0,4.0,7.0,6.0,2.0,0.3,0,2261,,,,,,,,,0,1979,,,,0,1903,0,,0,0,0.0,0.0,0.0,0.0,0,2914,0,,,165,2908,1,,40,11,4.1,68.8,2.50,33.90,0,2582,0,,,609,2668,5,,98,31,6.20,131.60,4.28,39.40,51,3100,6,,,778,1409,9,,189,38,4.10,74.10,3.22,38.00,299,2084,37,,,,8,Sun Belt,0.65,,
9,Kerryon Johnson,7.52,Auburn,1,6/30/97,27.84,JR,20.84,71,213,4.54,2,0.00%,0.00%,6.86%,17.80%,25.10%,25.10%,25.10%,5.67%,5.91%,5.91%,5.91%,19.18,100.27,29.70,0.18,4.90,67.50,2.98,32.00,6.0,6.0,7.0,5.0,2.0,0.0,1.0,0.0,7.0,0.0,0,4596,,,,,,,,,0,2422,,,,0,3321,0,0,0,0,0.0,0.0,0.0,0.0,0,2984,0,,,208,2553,3,,53,11,3.9,43.1,2.19,9.10,122,2257,13,,,895,3527,11,,182,39,4.90,67.50,2.98,25.10,125,2203,17,,,1394,3056,18,,285,50,4.90,53.50,2.90,32.00,193,3267,24,,,,9,MAC,0.65,,
10,Josh Adams,6.85,Notre Dame,2,10/29/96,28.51,JR,21.50,74,213,4.48,0,0.00%,0.00%,14.75%,22.47%,26.29%,26.29%,26.29%,6.33%,4.34%,5.33%,5.33%,19.85,105.75,27.34,0.21,6.90,106.20,4.95,56.00,7.0,5.0,5.0,8.0,4.0,6.0,5.0,8.0,0.0,0.0,0,1963,,,,,,,,,0,3313,,,,0,2073,0,,0,0,0.0,0.0,0.0,0.0,0,3711,0,,,852,2699,6,,115,18,7.4,60.3,4.09,45.70,42,3364,7,,,933,1960,5,,158,32,5.90,62.80,3.41,37.80,193,3051,21,,,1431,3501,9,,206,44,6.90,106.20,4.95,56.00,101,2326,13,,,,10,C-USA,0.6,,
