Season,Team,Cmp,G,W,L,T,W-L%,Pts,PtsO,PtDif,Cmp.1,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Y/A,AY/A,Y/C
2012,Texas A&M,329.0,13.0,11.0,2.0,0.0,0.846,578.0,283.0,295.0,329.0,492.0,163.0,66.9,4114.0,28.0,10.0,5.7,2.0,151.8,8.4,8.59,12.5
2012,Tennessee,285.0,12.0,5.0,7.0,0.0,0.417,434.0,428.0,6.0,285.0,477.0,192.0,59.7,3787.0,35.0,14.0,7.3,2.9,144.8,7.9,8.09,13.3
2012,Arkansas,272.0,12.0,4.0,8.0,0.0,0.333,282.0,365.0,-83.0,272.0,459.0,187.0,59.3,3618.0,23.0,16.0,5.0,3.5,135.0,7.9,7.32,13.3
2012,Ole Miss,261.0,13.0,7.0,6.0,0.0,0.538,409.0,359.0,50.0,261.0,411.0,150.0,63.5,3249.0,24.0,18.0,5.8,4.4,140.4,7.9,7.1,12.4
2012,Georgia,254.0,14.0,12.0,2.0,0.0,0.857,529.0,275.0,254.0,254.0,399.0,145.0,63.7,3991.0,37.0,11.0,9.3,2.8,172.8,10.0,10.62,15.7
2012,Mississippi State,249.0,13.0,8.0,5.0,0.0,0.615,383.0,303.0,80.0,249.0,424.0,175.0,58.7,3091.0,28.0,10.0,6.6,2.4,137.0,7.3,7.55,12.4
2012,Missouri,228.0,12.0,5.0,7.0,0.0,0.417,309.0,341.0,-32.0,228.0,414.0,186.0,55.1,2615.0,15.0,14.0,3.6,3.4,113.3,6.3,5.52,11.5
2012,South Carolina,225.0,13.0,11.0,2.0,0.0,0.846,410.0,237.0,173.0,225.0,365.0,140.0,61.6,3095.0,29.0,9.0,7.9,2.5,154.2,8.5,8.96,13.8
2012,Kentucky,220.0,12.0,2.0,10.0,0.0,0.167,215.0,372.0,-157.0,220.0,387.0,167.0,56.8,2115.0,13.0,10.0,3.4,2.6,108.7,5.5,4.97,9.6
2012,Alabama,219.0,14.0,13.0,1.0,0.0,0.929,542.0,153.0,389.0,219.0,328.0,109.0,66.8,3052.0,31.0,3.0,9.5,0.9,174.3,9.3,10.78,13.9
2012,LSU,208.0,13.0,10.0,3.0,0.0,0.769,387.0,228.0,159.0,208.0,356.0,148.0,58.4,2607.0,12.0,7.0,3.4,2.0,127.1,7.3,7.11,12.5
2012,Vanderbilt,207.0,13.0,9.0,4.0,0.0,0.692,390.0,243.0,147.0,207.0,350.0,143.0,59.1,2774.0,17.0,5.0,4.9,1.4,138.9,7.9,8.25,13.4
2012,Florida,183.0,13.0,11.0,2.0,0.0,0.846,344.0,188.0,156.0,183.0,288.0,105.0,63.5,1902.0,13.0,5.0,4.5,1.7,130.4,6.6,6.73,10.4
2012,Auburn,147.0,12.0,3.0,9.0,0.0,0.25,224.0,340.0,-116.0,147.0,257.0,110.0,57.2,1879.0,8.0,15.0,3.1,5.8,117.2,7.3,5.31,12.8
2012,Indiana,331.0,12.0,4.0,8.0,0.0,0.333,369.0,423.0,-54.0,331.0,540.0,209.0,61.3,3734.0,24.0,13.0,4.4,2.4,129.2,6.9,6.72,11.3
2012,Purdue,296.0,13.0,6.0,7.0,0.0,0.462,373.0,406.0,-33.0,296.0,482.0,186.0,61.4,3100.0,30.0,14.0,6.2,2.9,130.2,6.4,6.37,10.5
2012,Penn State,272.0,12.0,8.0,4.0,0.0,0.667,349.0,229.0,120.0,272.0,456.0,184.0,59.6,3283.0,24.0,5.0,5.3,1.1,135.3,7.2,7.76,12.1
2012,Michigan State,244.0,13.0,7.0,6.0,0.0,0.538,260.0,212.0,48.0,244.0,465.0,221.0,52.5,2729.0,14.0,10.0,3.0,2.2,107.4,5.9,5.5,11.2
2012,Nebraska,233.0,14.0,10.0,4.0,0.0,0.714,487.0,386.0,101.0,233.0,378.0,145.0,61.6,2904.0,24.0,13.0,6.3,3.4,140.2,7.7,7.4,12.5
2012,Northwestern,231.0,13.0,10.0,3.0,0.0,0.769,412.0,293.0,119.0,231.0,369.0,138.0,62.6,2198.0,14.0,7.0,3.8,1.9,121.4,6.0,5.86,9.5
2012,Illinois,223.0,12.0,2.0,10.0,0.0,0.167,200.0,385.0,-185.0,223.0,354.0,131.0,63.0,2026.0,11.0,14.0,3.1,4.0,113.4,5.7,4.56,9.1
2012,Iowa,223.0,12.0,4.0,8.0,0.0,0.333,232.0,275.0,-43.0,223.0,389.0,166.0,57.3,2249.0,7.0,8.0,1.8,2.1,107.7,5.8,5.22,10.1
2012,Minnesota,175.0,13.0,6.0,7.0,0.0,0.462,287.0,321.0,-34.0,175.0,330.0,155.0,53.0,2203.0,19.0,15.0,5.8,4.5,119.0,6.7,5.78,12.6
2012,Wisconsin,170.0,14.0,8.0,6.0,0.0,0.571,414.0,268.0,146.0,170.0,291.0,121.0,58.4,2197.0,15.0,6.0,5.2,2.1,134.7,7.5,7.65,12.9
2012,Michigan,169.0,13.0,8.0,5.0,0.0,0.615,388.0,258.0,130.0,169.0,318.0,149.0,53.1,2591.0,20.0,19.0,6.3,6.0,130.4,8.1,6.72,15.3
2012,Ohio State,161.0,12.0,12.0,0.0,0.0,1.0,446.0,274.0,172.0,161.0,278.0,117.0,57.9,2178.0,17.0,7.0,6.1,2.5,138.9,7.8,7.92,13.5
2012,Texas Tech,418.0,13.0,8.0,5.0,0.0,0.615,487.0,413.0,74.0,418.0,594.0,176.0,70.4,4627.0,44.0,16.0,7.4,2.7,154.9,7.8,8.06,11.1
2012,West Virginia,378.0,13.0,7.0,6.0,0.0,0.538,513.0,495.0,18.0,378.0,537.0,159.0,70.4,4292.0,44.0,7.0,8.2,1.3,162.0,8.0,9.04,11.4
2012,Oklahoma,376.0,13.0,10.0,3.0,0.0,0.769,496.0,331.0,165.0,376.0,571.0,195.0,65.8,4374.0,30.0,11.0,5.3,1.9,143.7,7.7,7.84,11.6
2012,Oklahoma State,312.0,13.0,8.0,5.0,0.0,0.615,594.0,367.0,227.0,312.0,495.0,183.0,63.0,4312.0,34.0,16.0,6.9,3.2,152.4,8.7,8.63,13.8
