player_name,pos,Draft Capital,birth_date,breakout_age,Year1,Age1,DOM1,DOM+1,PDOM1,PDOM+1,RDOM1,RDOM+1,Speed1,BMI1,YPC1,YCO/A1,MTF/A1,Break%1,elu1,Year2,Age2,DOM2,DOM+2,PDOM2,PDOM+2,RDOM2,RDOM+2,Speed2,BMI2,YPC2,YCO/A2,MTF/A2,Break%2,elu2,Year3,Age3,DOM3,DOM+3,PDOM3,PDOM+3,RDOM3,RDOM+3,Speed3,BMI3,YPC3,YCO/A3,MTF/A3,Break%3,elu3,Year4,Age4,DOM4,DOM+4,PDOM4,PDOM+4,RDOM4,RDOM+4,Speed4,BMI4,YPC4,YCO/A4,MTF/A4,Break%4,birthday_parsed,birthdate_source_url
Alexander Mattison,RB,3.0,1998-06-19,19.2,2016.0,18.2,0.114,0.086,0.0,0.0,0.0,0.0,,,,,,,,2016.0,18.2,0.007,0.005,0.0,0.0,0.0,0.0,,,,,,,,2017.0,19.2,0.058,0.044,0.0,0.0,0.0,0.0,,,,,,,,2017.0,19.2,0.378,0.288,0.0,0.0,0.0,0.0,,,,,,,1998-06-19,https://www.pro-football-reference.com/players/M/MattAl01.htm
Alfred Blue,RB,6.0,1991-04-27,20.35,2010.0,19.35,0.075,0.075,0.0,0.0,0.0,0.0,,,,,,,,2010.0,19.35,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,2011.0,20.35,-0.001,-0.001,0.0,0.0,0.0,0.0,,,,,,,,2011.0,20.35,0.293,0.293,0.0,0.0,0.0,0.0,,,,,,,1991-04-27,https://www.pro-football-reference.com/players/B/BlueAl00.htm
Alfred Morris,RB,6.0,1988-12-12,20.72,2008.0,19.72,0.003,0.003,0.0,0.0,0.0,0.0,,,,,,,,2009.0,20.72,0.419,0.318,0.0,0.0,0.0,0.0,,,,,,,,2009.0,20.72,0.055,0.042,0.0,0.0,0.0,0.0,,,,,,,,2010.0,21.72,0.391,0.298,0.0,0.0,0.0,0.0,,,,,,,1988-12-12,https://www.pro-football-reference.com/players/M/MorrAl00.htm
Allen Bradford,RB,6.0,1988-08-31,,2006.0,18.0,0.023,0.014,0.0,0.0,0.0,0.0,,,,,,,,2006.0,18.0,0.021,0.013,0.0,0.0,0.0,0.0,,,,,,,,2007.0,19.0,0.036,0.022,0.0,0.0,0.0,0.0,,,,,,,,2007.0,19.0,0.02,0.012,0.0,0.0,0.0,0.0,,,,,,,1988-08-31,https://www.pro-football-reference.com/players/B/BradAl00.htm
Allen Patrick,RB,7.0,1927-03-17,79.46,2005.0,78.46,0.132,0.125,0.0,0.0,0.0,0.0,,,,,,,,2005.0,78.46,0.002,0.002,0.0,0.0,0.0,0.0,,,,,,,,2006.0,79.46,0.233,0.221,0.0,0.0,0.0,0.0,,,,,,,,2007.0,80.46,0.021,0.02,0.0,0.0,0.0,0.0,,,,,,,1927-03-17,https://en.wikipedia.org/wiki/Patrick_Allen_(actor)
Alvin Kamara,RB,3.0,1995-07-25,20.1,2015.0,20.1,0.341,0.341,0.005,0.005,0.0,0.0,,,,,,,,2015.0,20.1,0.145,0.145,0.005,0.005,0.0,0.0,,,,,,,,2016.0,21.11,0.257,0.257,0.0,0.0,0.0,0.0,,,,,,,,2016.0,21.11,0.135,0.135,0.0,0.0,0.0,0.0,,,,,,,1995-07-25,https://www.pro-football-reference.com/players/K/KamaAl00.htm
Alvin Pearman,RB,4.0,1982-08-10,,2001.0,19.06,0.112,0.106,0.0,0.0,0.0,0.0,,,,,,,,2001.0,19.06,0.086,0.081,0.0,0.0,0.0,0.0,,,,,,,,2002.0,20.06,0.03,0.028,0.0,0.0,0.0,0.0,,,,,,,,2002.0,20.06,0.116,0.11,0.0,0.0,0.0,0.0,,,,,,,1982-08-10,https://www.pro-football-reference.com/players/P/PearAl00.htm
Ameer Abdullah,RB,2.0,1993-06-13,19.22,2011.0,18.22,0.003,0.003,0.0,0.0,0.0,0.0,,,,,,,,2011.0,18.22,0.151,0.151,0.0,0.0,0.0,0.0,,,,,,,,2012.0,19.22,0.072,0.072,0.0,0.0,0.0,0.0,,,,,,,,2012.0,19.22,0.362,0.362,0.0,0.0,0.0,0.0,,,,,,,1993-06-13,https://www.pro-football-reference.com/players/A/AbduAm00.htm
Andre Brown,RB,4.0,1986-12-15,18.71,2005.0,18.71,0.36,0.342,0.0,0.0,0.0,0.0,,,,,,,,2005.0,18.71,0.017,0.016,0.0,0.0,0.0,0.0,,,,,,,,2006.0,19.71,0.35,0.333,0.0,0.0,0.0,0.0,,,,,,,,2006.0,19.71,0.012,0.011,0.0,0.0,0.0,0.0,,,,,,,1986-12-15,https://www.pro-football-reference.com/players/B/BrowAn03.htm
Andre Ellington,RB,6.0,1989-02-03,21.57,2009.0,20.57,0.178,0.169,0.0,0.0,0.0,0.0,,,,,,,,2009.0,20.57,0.01,0.01,0.0,0.0,0.0,0.0,,,,,,,,2010.0,21.57,0.429,0.408,0.0,0.0,0.0,0.0,,,,,,,,2010.0,21.57,0.051,0.048,0.0,0.0,0.0,0.0,,,,,,,1989-02-03,https://www.pro-football-reference.com/players/E/ElliAn00.htm
Andre Williams,RB,4.0,1992-08-28,,2000.0,8.01,0.034,0.032,0.0,0.0,0.0,0.0,,,,,,,,2000.0,8.01,0.003,0.003,0.0,0.0,0.0,0.0,,,,,,,,2001.0,9.01,0.004,0.004,0.0,0.0,0.0,0.0,,,,,,,,2001.0,9.01,0.171,0.162,0.0,0.0,0.0,0.0,,,,,,,1992-08-28,https://www.pro-football-reference.com/players/W/WillAn00.htm
Andrew Pinnock,RB,7.0,1980-03-12,20.47,2000.0,20.47,0.518,0.518,0.0,0.0,0.0,0.0,,,,,,,,2000.0,20.47,0.008,0.008,0.0,0.0,0.0,0.0,,,,,,,,2001.0,21.47,0.008,0.008,0.0,0.0,0.0,0.0,,,,,,,,2001.0,21.47,0.566,0.566,0.0,0.0,0.0,0.0,,,,,,,1980-03-12,https://www.pro-football-reference.com/players/P/PinnAn00.htm
Andy Janovich,RB,6.0,1993-05-23,,2012.0,19.28,0.002,0.002,0.0,0.0,0.0,0.0,,,,,,,,2012.0,19.28,0.001,0.001,0.0,0.0,0.0,0.0,,,,,,,,2014.0,21.28,0.003,0.003,0.0,0.0,0.0,0.0,,,,,,,,2015.0,22.28,0.094,0.094,0.0,0.0,0.0,0.0,,,,,,,1993-05-23,https://www.pro-football-reference.com/players/J/JanoAn00.htm
Anthony Allen,RB,7.0,1988-08-06,,2006.0,18.07,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,2006.0,18.07,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,2007.0,19.07,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,2007.0,19.07,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1988-08-06,https://www.pro-football-reference.com/players/A/AlleAn01.htm
